secteurs,chf_2019,chf_2018,chf_2017,chf_2016,chf_2015,chf_2014,sect_img,desc_2019,desc_2018,desc_2017,desc_2016,desc_2015,desc_2014
Aménagement - Urbanisme,877000,896000,644000,828000,527746,497287,crane.svg,<li>Provision dans le cadre du projet de rénovation urbaine du quartier de Kerfréhour (500 000 €)</li><li>Aménagement (phase 2) de l'espace Nelson Mandela Dulcie September (250 000 €)</li>,<li>Aménagement (phase 1) de l'espace Nelson Mandela Dulcie September (550 000 €)</li><li>'Enfouissement de réseaux dans le cadre du projet des "Terrasses du Scorff" (257 000 €)'</li>,<li>Prévision de l'aménagement de l'Espace Mandela Dulcie September (250 000 €)</li><li>Aménagement de la rue Zede, dans le cadre de la desserte de la zone de Manebos (70 000 €)</li><li>Viabilisation de 3 parcelles à Lann Gazec (150 000 €)</li>,<li>Aménagement de la desserte de la zone du Zulio (500 000 €)</li>,<li>Etudes d'aménagement du centre ville, de l'Espace Mandela Dulcie September et des rives du Scorff</li>,<li>Rénovation urbaine de Kessler Devillers (201 822 €)</li>><li>Démolition de la salle des fêtes et des locaux associatifs (80 000 €)</li>
Aménagement - Espaces verts,308650,243650,349150,209650,268150,372150,tree.svg,,,,,,<li>Acquisition d'une structure de jeux (50 000 €)</li>
Bâtiments,522200,198500,692000,331000,290000,343200,tools.svg,,,<li>Chaufferie bois (312 000 €)</li><li>Mise en sécurité des bâtiments (174 000 €)</li>,<li>Transition énergétique des bâtiments (100 000 €)</li><li>Sécurisation de l'entrée du Centre technique municipal (50 000 €)</li>,<li>Travaux d'étanchéité de l'Hôtel de Ville (100 000 €)</li><li>Ravalement extérieur de la Médiathèque (66 000 €)</li>,<li>Relogement de l'ancienne crèche de la rue Le Hen (125 000 €)</li>
Citoyenneté,779400,277104,169500,212100,89300,55550,vote.svg,<li>Construction du pôle associatif sur le site de l'ancienne école Joliot Curie (650 000 €)</li><li>Budget participatif (100 000 €)</li>,<li>Budget participatif (100 000 €)</li><li>Construction du pôle associatif sur le site de l'ancienne école Joliot Curie (100 000 €)</li>,<li>Budget participatif (100 000 €)</li><li>Déménagements de locaux associatifs (100 000€)</li>,<li>Aménagement de la partie avec mérule de l'ancienne école Joliot Curie (115 000 €)</li>,,<li>Reprise des allées du cimetière du Corpont (30 000 €)</li>
Communication,9500,9500,27500,6500,11500,11500,speaking.svg,,,,,,<li>Acquisition d'un équipement d'affichage urbain (10 000 €)</li>
Culture,115678,109000,143250,518900,701950,1111860,theatre-masks.svg,<li>Travaux de réhabilitation et de modernisation du patrimoine (51 482 €)</li><li>Acquisition de matériels et d'équipements (61 196 €)</li>,<li>Acquisition de matériels scéniques pour Quai 9 (40 000 €)</li>,<li>Acquisition de matériel scénographique pour Quai 9 (50 000 €)</li><li>Aménagement et acquisition de matériel pour le Conservatoire Musique et Danse (41 100 €) et la Médiathèque (23 500€)</li><li>Rénovation du site de Kerhervy (14 000 €)</li>,<li>Construction de Quai 9 (400 000 €)</li>,<li>Provisionnement en vue de la construction de l'espace culturel et de loisirs (500 000 €)</li>,<li>Provisionnement en vue de la construction de l'espace culturel et de loisirs (1 000 000 €)</li>
Administration générale,24888,21827,36984,16000,16000,21000,city-hall.svg,,,,,,
Enseignement,254400,1148000,1152500,627500,522200,516000,teacher.svg,"<li>Programme d'entretien, de rénovation et de modernisation des écoles (219 400 €)</li>",<li>Projet de réhabilitation et d'extension du groupe scolaire Pablo Picasso (1 010 000 €)</li>,<li>Aménagement du groupe scolaire Pablo Picasso</li><li>Travaux dans les autres écoles de la commune (217 500€)</li><li>,<li>Regroupement des maternelles du groupe scolaire Pablo Picasso (180 000 €)</li><li>Travaux de l'école maternelle Henri Barbusse (162 750 €)</li><li>Travaux de l'école élémentaire Paul Langevin (85 000 €)</li>,<li>Travaux de l'école élémentaire Paul Langevin (245 000 €)</li>,<li>Travaux de l'école maternelle Henri Barbusse (275 000 €)</li>
Numérique,150000,150000,187500,150000,171600,50000,digital.svg,<li>Mise en place de la RFID à la médiathèque (70 000 €)</li><li>Pointage connecté des activités périscolaires (30 000 €)</li>,,<li>Logiciel RH (50 000 €)</li><li>Standard téléphonique (50 000 €)</li><li>Enveloppe pour les écoles (20 000 €)</li><li>Salle de Musique Assistée par Ordinateur (6 000 €)</li>,,<li>Enveloppe pour les écoles (30 900 €)</li>,
Jeunesse,60000,122000,37000,17000,45600,31000,basketball.svg,<li>Travaux de transformation et d'amélioration du Studio (50 000 €)</li>,<li>Travaux d'amélioration du skate park (82 000 €)</li><li>Travaux de rénovation de l'espace Jean Vilar (30 000 €)</li>,<li>Installation d'un arbre à basket sur le site du Scarh (27 000 €)</li>,,,
Loisirs Enfance,175400,84400,53420,65350,134650,141600,puzzle.svg,<li>Travaux de la toiture en zinc de la garderie périscolaire Paul Langevin (60 000 €)</li>,<li>Travaux d'aménagement du Centre de loisirs de Pen Mané (50 000 €)</li>,<li>'Centres de loisirs et garderies (53 420 €), dont le transfert de l'accueil extrascolaire de Renée Raymond à Pen Mané</li>',<li>Aménagement de la garderie périscolaire Romain Rolland (19 700 €)</li>,,<li>Travaux d'aménagement de Pierre François (60 000 €)</li>
Social,54000,85400,19520,11403,8092,20940,health-care.svg,<li>Travaux de sécurisation et de rénovation à la Maison de l'Enfance (30 000 €)</li>,<li>Travaux d'optimisation énergétique et d'amélioration de la qualité de l'air du bâtiment de l'Epicerie solidaire (50 000 €)</li>,,,,
Sport,348000,134000,104000,209000,193300,496500,running.svg,<li>Remplacement de la couverture et sécurisation de la charpente des terrains de tennis de l'espace Jo Hocher (200 000 €)</li><li>Travaux sur les autres gymnases (72 000 €)</li>,<li>Travaux sur les gymnases (70 000 €)</li>,<li>Etude de sécurité sur les panneaux de basket dans les gymnases (20 000 €)</li>,<li>Rénovation de la salle René Ihuel (130 000 €)</li>,,<li>Travaux du gymnase Jean Zay (47 000 €)</li>
Voirie,1020807,1002500,897500,1012500,1553000,1448000,road-perspective.svg,<li>Travaux divers d'enrobés et de bitumes (565 000 €)</li><li>Programme de rénovation et de modernisation de l'éclairage public (210 000 €)</li>,<li>Travaux divers d'enrobés et de bitumes (430 000 €)</li><li>Programme de rénovation et de modernisation de l'éclairage public (320 000 €)</li><li>Modernisation des feux tricolores er mise en conformité au dispositif handicap visuel (50 000 €)</li>,<Li>Modernisation de l'éclairage public (200 000 €)</li>,<li>Rénovation des voies (545 000 €)</li><li>Programme de rénovation et de modernisation de l'éclairage (180 000 €)</li><li>Aménagement des itinéraires cyclables (95 000 €)</li>,,<li>Travaux avenue Stalingrad (600 000 €)</li>